                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4344,                 1.6517,                 1.4267,                0.58124,                0.43038,                0.46636,                0.22727,                 1.6968,                 2.0897,                 1.8055,             0.00066535,             0.00066535,             0.00066535
                      2,                 1.5252,                 1.5066,                 1.5016,                0.54316,                0.47844,                0.48335,                0.23827,                 1.8478,                 3.3011,                 1.9927,              0.0012991,              0.0012991,              0.0012991
                      3,                 1.5237,                 1.4739,                 1.5024,                0.68402,                 0.5721,                0.62867,                0.34404,                 1.6127,                 1.5146,                 1.7984,              0.0018998,              0.0018998,              0.0018998
                      4,                 1.4652,                 1.3858,                 1.4732,                0.67473,                0.56138,                0.62832,                 0.3521,                 1.5957,                 1.5765,                 1.7481,              0.0018515,              0.0018515,              0.0018515
                      5,                  1.417,                 1.3118,                 1.4386,                0.80465,                0.69157,                  0.782,                0.48234,                 1.3439,                  1.233,                 1.4963,              0.0018515,              0.0018515,              0.0018515
                      6,                 1.3658,                 1.2092,                 1.3963,                0.79235,                0.72288,                0.80152,                0.49391,                 1.3239,                 1.1163,                 1.4903,               0.001802,               0.001802,               0.001802
                      7,                 1.3333,                 1.1713,                 1.3777,                0.82699,                0.75096,                0.83077,                0.52775,                 1.2806,                 1.0646,                 1.4479,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.3132,                 1.1193,                 1.3564,                0.82447,                0.75309,                0.84192,                0.52591,                 1.2735,                 1.0263,                 1.4311,               0.001703,               0.001703,               0.001703
                      9,                   1.29,                 1.0959,                 1.3468,                0.84131,                0.78934,                 0.8635,                0.55747,                 1.2556,                0.93971,                 1.4294,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.2679,                 1.0461,                 1.3189,                0.81656,                0.72011,                0.80623,                0.49881,                 1.3391,                 1.0126,                 1.4985,               0.001604,               0.001604,               0.001604
                     11,                 1.2456,                 1.0119,                 1.3041,                0.87488,                0.79456,                0.88353,                 0.5844,                 1.1973,                0.90674,                 1.3849,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.2307,                 0.9769,                 1.2969,                0.87215,                0.74348,                0.84745,                0.55343,                  1.231,                0.95463,                 1.3993,               0.001505,               0.001505,               0.001505
                     13,                 1.2024,                0.95367,                 1.2788,                0.88404,                0.81238,                0.88554,                0.59277,                 1.1939,                0.83399,                 1.3975,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.2084,                0.93978,                 1.2743,                0.85762,                0.77258,                0.86152,                0.58607,                 1.1656,                0.88258,                 1.3556,               0.001406,               0.001406,               0.001406
                     15,                 1.1768,                0.91517,                 1.2604,                0.87902,                0.82917,                0.90644,                0.61767,                 1.1402,                0.77297,                 1.3247,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.1701,                0.89205,                 1.2525,                0.87632,                0.84208,                0.90459,                0.62019,                 1.1506,                0.77165,                 1.3516,               0.001307,               0.001307,               0.001307
                     17,                 1.1513,                0.88516,                 1.2477,                0.88359,                0.82944,                0.89893,                0.61885,                  1.143,                  0.797,                 1.3243,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.1092,                0.84443,                 1.2221,                0.89073,                0.82165,                0.90678,                0.62986,                 1.1211,                0.78238,                  1.332,               0.001208,               0.001208,               0.001208
                     19,                 1.1125,                0.83741,                 1.2223,                0.90112,                0.84347,                0.92233,                0.63904,                 1.0952,                0.72547,                   1.27,              0.0011585,              0.0011585,              0.0011585
                     20,                 1.1089,                0.82877,                 1.2188,                0.91542,                0.84425,                0.93315,                0.65051,                 1.0762,                 0.6987,                 1.2739,               0.001109,               0.001109,               0.001109
                     21,                 1.0937,                0.81724,                 1.2113,                0.91048,                0.85474,                0.92755,                 0.6557,                 1.0684,                0.70164,                 1.2673,              0.0010595,              0.0010595,              0.0010595
                     22,                 1.0793,                0.79649,                 1.2001,                0.90263,                0.83823,                0.91473,                0.63977,                 1.0926,                0.71903,                  1.288,                0.00101,                0.00101,                0.00101
                     23,                 1.0703,                0.77923,                 1.1961,                0.90332,                0.83659,                0.90583,                0.64002,                 1.0801,                0.70986,                 1.2893,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.0471,                 0.7566,                   1.18,                0.90076,                0.84761,                0.91901,                0.65263,                 1.0571,                0.67332,                 1.2758,               0.000911,               0.000911,               0.000911
                     25,                 1.0477,                0.74968,                 1.1795,                0.89803,                0.87318,                0.92864,                0.66004,                 1.0587,                 0.7047,                 1.2643,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.0333,                0.74105,                 1.1719,                0.90777,                0.86542,                0.92684,                0.65605,                 1.0449,                0.68531,                 1.2611,               0.000812,               0.000812,               0.000812
                     27,                 1.0209,                0.73083,                  1.159,                0.91815,                0.86578,                0.92778,                0.67222,                 1.0193,                0.67947,                 1.2533,              0.0007625,              0.0007625,              0.0007625
                     28,                 1.0023,                0.71517,                 1.1584,                0.91983,                0.85196,                 0.9253,                0.67051,                  1.029,                0.65606,                 1.2565,               0.000713,               0.000713,               0.000713
                     29,                0.98663,                0.69413,                 1.1491,                 0.9042,                0.87586,                0.92929,                0.67433,                 1.0167,                0.64862,                  1.245,              0.0006635,              0.0006635,              0.0006635
                     30,                0.97974,                0.68597,                 1.1383,                0.91891,                0.86405,                0.92226,                0.67443,                 1.0082,                0.65036,                 1.2536,               0.000614,               0.000614,               0.000614
